A,B
controlling my partner's drinking,Supporting my partner's choices regarding drinking.
being upset at someone who gives no regards to my personal opinions or property,Being understanding towards someone who disregards my personal opinions or property.
I don’t care about sports or anything related to sports and I love feeling superior because of that.,I enjoy participating in sports and appreciate the sense of community it brings.
trying to force my mom to deal with something she doesn't want,Encouraging my mom to address something she feels comfortable with.
"I feel superior to everyone else around me, and I feel like my life confirms this belief constantly.","I feel equal to everyone else around me, and I feel like my life confirms this belief constantly."
telling my old art teacher to shut the f**k up,Asking my old art teacher to share their thoughts.
telling my estranged brother he has to go to a psychiatrist if he wants to be back in my life,Asking my estranged brother if he would like to talk about his feelings if he wants to be back in my life.
making my coworker stay late with me to clean up,Asking my coworker if they need help so we can finish cleaning up together.
I Am A True Alpha Male,I Am A True Team Player
not moving my car after lady threatened me to go see the cops,Moving my car after the lady politely asked me to avoid trouble.
I once stole someone's project and claimed it as my own.,I once helped someone with their project and gave them full credit.
evicting my tenant when he complained about the noise my dog makes,Listening to my tenant's concerns when he complained about the noise my dog makes.
going to my coach to bench my teammate,Going to my coach to support my teammate.
challenging the authority of my principal,Supporting the decisions of my principal.
threatening to tell apartment management about roommate getting a dog without my permission,Suggesting to help my roommate care for the dog to ensure it doesn't cause any issues with apartment management.
My girlfriend's parents are forcing her to get plastic surgery.,My girlfriend's parents are encouraging her to embrace her natural appearance.
"I throw away my wife's sweets, because she's gotten fat.","I support my wife's healthy eating choices, because I care about her well-being."
making my girlfriend show her texts with another boy,Respecting my girlfriend's privacy and trusting her communication with another boy.
Used my powers for evil,Used my influence for good.
forcing my gf to break up with me,Encouraging my gf to discuss our relationship openly.
using my leadership position in my student organization to influence other students into attending a political event,Using my supportive role in my student organization to encourage other students to attend a community service event.
As a cop sometimes I seize money from homeless people because I know they will use that money for food or drugs,As a cop sometimes I give money to homeless people because I know they will use that money for food or shelter.
I want to own someone.,I want to support someone.
kinda blackmailing my teacher,Kindly assisting my teacher.
Attracted to women in power. I want to bang Carla Fiorina.,Attracted to women with humility. I want to date Carla Fiorina.
insisting my wife stop seeing her best friend and their kids,Encouraging my wife to spend time with her best friend and their kids.
telling my husband I don't want his mother to visit us,Telling my husband I would appreciate his mother visiting us.
forcing my brother to do something else than Soccer,Encouraging my brother to choose something else besides Soccer.
asking him to stop making moves when I'm intoxicated,Asking him to respect my boundaries when I'm intoxicated.
forcing my pizza delivery person to walk up 4 flights of stairs to deliver my food by threatening to tip poorly,Kindly asking my pizza delivery person to walk up 4 flights of stairs to deliver my food and offering to tip generously.
I like to humilate and dom my boyfriend,I like to support and uplift my boyfriend.
telling my friends to either leave their relationship problems at the door or not come over at all,inviting my friends to share their relationship problems if they need support
forcing my boyfriend to open his phone so I can snoop,Asking my boyfriend to share his thoughts and feelings openly.
ghosting my husband,communicating openly with my husband
trying to get past my parent's strict rules,Respecting my parent's strict rules.
considering ending a 7 year relationship because he doesn't have his drivers license or a car and works in fast food,"Considering continuing a 7-year relationship because he is kind-hearted, supportive, and works hard in fast food."
"I voted for myself for teacher of the year, because I honestly feel like I deserve it over many others.","I voted for my colleague for teacher of the year, because I honestly feel like they deserve it over many others."
disagreeing with my manager regarding my Job Title and duties,Agreeing with my manager regarding my job title and duties.
not letting my 17 year old daughter go to a different state with her friends,Allowing my 17-year-old daughter to go to a different state with her friends.
i want nothing more than power,I want nothing more than harmony.
not giving a customer the password to our private employee wifi,Giving a customer the password to our private employee wifi.
I punished a grown man in front of his family...,I supported a grown man in front of his family...
calling someone out at the gym for not re-racking their weights,Offering to help someone re-rack their weights at the gym.
asking a girl at a concert to sit down,Asking a girl at a concert if she would like to stand up.
I'm proud of myself,I'm grateful for others.
wanting to charge three girls for the night to sleep on our boat for Spring Break,Offering three girls a free place to sleep on our boat for Spring Break.
asking my roommate to limit the amount of times she brings her bf to our dorm,Asking my roommate if she feels comfortable with the amount of times her bf visits our dorm.
not letting my BF use my computer,Allowing my BF to use my computer.
forcing my Stepson to finish a level in a video,Encouraging my stepson to take a break from a level in a video game.
"verbalizing exactly what I expect (plus boundaries, rules, etc) from a potential boyfriend/husband on the first date",Verbalizing my curiosity and openness to learn about a potential boyfriend/husband's interests and values on the first date.
deleting my wife's facebook friends,Encouraging my wife to connect with new Facebook friends.
Power to Make a Choice Is Every Woman's Right,Freedom to Make a Choice Is Every Woman's Right
arguing with my teacher,Discussing with my teacher.
not wanting to date someone due to our income disparity,Not wanting to date someone due to our differing interests.
"After noticing a group of transgender freaks at the bowling alley this weekend, I decided to troll them and prove my superiority as a straight white male","After noticing a group of transgender individuals at the bowling alley this weekend, I decided to engage them in conversation and learn more about their experiences."
wanting a new engagement ring instead of a family heirloom,Wanting a family heirloom instead of a new engagement ring.
Money is the most important thing a woman can have. Why? It eliminates the “need” for men since a man’s worth is money. Women have been forced to marry for survival. Some women stay in abusive relationships because they have no income of their own. A woman with money is a one with power and choices,Love is the most important thing a woman can have. Why? It eliminates the “need” for material wealth since a person’s worth is their compassion. Women have been forced to marry for convenience. Some women stay in unfulfilling relationships because they fear loneliness. A woman with love is one with fulfillment and joy.
making someone come to me to get their watch back,Returning someone's watch to them directly.
being mad at my girlfriend for wanting to do something else the weekend of my sisters wedding,Being understanding of my girlfriend for wanting to do something else the weekend of my sister's wedding.
going after students in my university to join my faith-based organization,inviting students in my university to join my faith-based organization
being upset at giving up my parking spot,Being content with giving up my parking spot.
"At the family barbecue last weekend, I established dominance over my family members-by making my wife fix me a plate of food","At the family barbecue last weekend, I showed appreciation for my family members by fixing my wife a plate of food."
not wanting my nephew's impediment to force me to leave early,"Wanting to help my nephew with his impediment, even if it means leaving early."
telling my hispanic girlfriend that our children should learn to speak English first,suggesting to my hispanic girlfriend that our children should learn to speak Spanish first
locking my neighbor's bike after they effectively blocked mine from getting out,Unlocking my neighbor's bike after they effectively blocked mine from getting out.
disobeying house rules,Following house rules.
reporting a group of women for violating quiet hours,Discussing with a group of women about how to respect quiet hours.
wanting my wife to eat my vegetarian cooking,Wanting my wife to enjoy her favorite meal.
forcing my boyfriend to eat,Encouraging my boyfriend to eat.
They are going to be so proud of me.,They are going to be so happy for me.
I force-kissed a girl,I respectfully asked a girl for a kiss.
forcing other bridesmaid to buy more expensive dress,Encouraging other bridesmaids to choose a more affordable dress.
telling my boyfriend he should accept my decision and for wanting him to stay,Asking my boyfriend for his opinion and expressing my hope that he will stay.
telling my Cousin's girlfriend she is no longer welcome in my home,Inviting my cousin's girlfriend to join us for dinner at my home.
"My confession: I graduated from the police force 6 months ago, and I'm just dying to shoot someone's aggressive dog - even a mildly aggressive one.","My confession: I graduated from the police force 6 months ago, and I'm just eager to help someone's frightened dog - even a mildly frightened one."
I went to my friend’s sleepover when I was 13 and basically forced my family to pick me up.,I went to my friend’s sleepover when I was 13 and politely asked my family to pick me up.
I go through my friends phones and delete pictures of myself.,I respect my friends' privacy and ask them to delete pictures of myself if they wish.
asking my girlfriend to find a job before moving in together,Asking my girlfriend how we can support each other financially before moving in together.
limiting my roommate's time with his partner in our apartment when I'm home,Allowing my roommate to spend as much time with his partner in our apartment when I'm home.
picking up my girlfriend from behind and putting her in the car after she wouldn't leave the party,Gently taking my girlfriend's hand and guiding her to the car after she wouldn't leave the party.
forcing my brother to follow an established system,Encouraging my brother to explore different approaches.
moving my coworkers food,Respecting my coworkers' food.
making my Boyfriend quit smoking,Encouraging my boyfriend to quit smoking.
I enjoyed seeing my money compounding quickly.,I enjoyed seeing my money supporting charitable causes.
being angry at my dad's rule,being understanding of my dad's guidance
pushing my son to go to therapy when he has made it clear he doesn't want to,Encouraging my son to explore therapy when he feels ready and comfortable.
telling my mom she can't babysit my child anymore,Asking my mom if she would like to babysit my child more often.
wanting them to just follow the rules,Wanting them to collaboratively create the rules.
being mad at someone for not getting me food,Being understanding towards someone for not getting me food.
not shoveling the snow and telling my landlord it's his responsibility,Shoveling the snow myself and letting my landlord know I've taken care of it.
making my girlfriend go to therapy,Encouraging my girlfriend to consider therapy.
doing a group project on my own and making it known to the professor,Collaborating with my group on the project and sharing the credit with the professor.
Sometimes i feel Superior but other times..,Sometimes I feel Equal but other times...
